HIPPS,Clinical Group and Functional Level,Admission Source and Timing,"Comorbidity Adjustment (0 = none, 1 = single comorbidity, 2 = interaction)",Recalibrated Weight for 2025,LUPA Visit Threshold (LUPAs have fewer visits than the threshold)
1FC11,Behavioral Health - High,Early - Community,0,1.0912,4
1FC21,Behavioral Health - High,Early - Community,1,1.1535,4
1FC31,Behavioral Health - High,Early - Community,2,1.3028,4
2FC11,Behavioral Health - High,Early - Institutional,0,1.2986,3
2FC21,Behavioral Health - High,Early - Institutional,1,1.3608,4
2FC31,Behavioral Health - High,Early - Institutional,2,1.5101,4
3FC11,Behavioral Health - High,Late - Community,0,0.7431,2
3FC21,Behavioral Health - High,Late - Community,1,0.8053,2
3FC31,Behavioral Health - High,Late - Community,2,0.9546,2
4FC11,Behavioral Health - High,Late - Institutional,0,1.2208,3
4FC21,Behavioral Health - High,Late - Institutional,1,1.283,3
4FC31,Behavioral Health - High,Late - Institutional,2,1.4323,4
1FA11,Behavioral Health - Low,Early - Community,0,0.8727,3
1FA21,Behavioral Health - Low,Early - Community,1,0.935,3
1FA31,Behavioral Health - Low,Early - Community,2,1.0843,3
2FA11,Behavioral Health - Low,Early - Institutional,0,1.0801,3
2FA21,Behavioral Health - Low,Early - Institutional,1,1.1423,3
2FA31,Behavioral Health - Low,Early - Institutional,2,1.2916,3
3FA11,Behavioral Health - Low,Late - Community,0,0.5246,2
3FA21,Behavioral Health - Low,Late - Community,1,0.5868,2
3FA31,Behavioral Health - Low,Late - Community,2,0.7361,2
4FA11,Behavioral Health - Low,Late - Institutional,0,1.0023,2
4FA21,Behavioral Health - Low,Late - Institutional,1,1.0645,3
4FA31,Behavioral Health - Low,Late - Institutional,2,1.2138,2
1FB11,Behavioral Health - Medium,Early - Community,0,0.9916,4
1FB21,Behavioral Health - Medium,Early - Community,1,1.0539,4
1FB31,Behavioral Health - Medium,Early - Community,2,1.2032,4
2FB11,Behavioral Health - Medium,Early - Institutional,0,1.1989,3
2FB21,Behavioral Health - Medium,Early - Institutional,1,1.2612,4
2FB31,Behavioral Health - Medium,Early - Institutional,2,1.4105,4
3FB11,Behavioral Health - Medium,Late - Community,0,0.6435,2
3FB21,Behavioral Health - Medium,Late - Community,1,0.7057,2
3FB31,Behavioral Health - Medium,Late - Community,2,0.855,2
4FB11,Behavioral Health - Medium,Late - Institutional,0,1.1212,3
4FB21,Behavioral Health - Medium,Late - Institutional,1,1.1834,3
4FB31,Behavioral Health - Medium,Late - Institutional,2,1.3327,3
1DC11,Complex - High,Early - Community,0,0.9871,2
1DC21,Complex - High,Early - Community,1,1.0494,2
1DC31,Complex - High,Early - Community,2,1.1987,2
2DC11,Complex - High,Early - Institutional,0,1.1944,3
2DC21,Complex - High,Early - Institutional,1,1.2567,3
2DC31,Complex - High,Early - Institutional,2,1.406,3
3DC11,Complex - High,Late - Community,0,0.639,2
3DC21,Complex - High,Late - Community,1,0.7012,2
3DC31,Complex - High,Late - Community,2,0.8505,2
4DC11,Complex - High,Late - Institutional,0,1.1167,2
4DC21,Complex - High,Late - Institutional,1,1.1789,2
4DC31,Complex - High,Late - Institutional,2,1.3282,2
1DA11,Complex - Low,Early - Community,0,0.8723,2
1DA21,Complex - Low,Early - Community,1,0.9345,2
1DA31,Complex - Low,Early - Community,2,1.0838,2
2DA11,Complex - Low,Early - Institutional,0,1.0796,3
2DA21,Complex - Low,Early - Institutional,1,1.1418,3
2DA31,Complex - Low,Early - Institutional,2,1.2911,3
3DA11,Complex - Low,Late - Community,0,0.5241,2
3DA21,Complex - Low,Late - Community,1,0.5864,2
3DA31,Complex - Low,Late - Community,2,0.7357,2
4DA11,Complex - Low,Late - Institutional,0,1.0018,2
4DA21,Complex - Low,Late - Institutional,1,1.0641,2
4DA31,Complex - Low,Late - Institutional,2,1.2134,3
1DB11,Complex - Medium,Early - Community,0,1.003,2
1DB21,Complex - Medium,Early - Community,1,1.0652,2
1DB31,Complex - Medium,Early - Community,2,1.2145,2
2DB11,Complex - Medium,Early - Institutional,0,1.2103,3
2DB21,Complex - Medium,Early - Institutional,1,1.2725,3
2DB31,Complex - Medium,Early - Institutional,2,1.4218,4
3DB11,Complex - Medium,Late - Community,0,0.6548,2
3DB21,Complex - Medium,Late - Community,1,0.7171,2
3DB31,Complex - Medium,Late - Community,2,0.8664,2
4DB11,Complex - Medium,Late - Institutional,0,1.1325,3
4DB21,Complex - Medium,Late - Institutional,1,1.1948,3
4DB31,Complex - Medium,Late - Institutional,2,1.3441,3
1HC11,MMTA - Cardiac - High,Early - Community,0,1.1133,4
1HC21,MMTA - Cardiac - High,Early - Community,1,1.1756,4
1HC31,MMTA - Cardiac - High,Early - Community,2,1.3249,4
2HC11,MMTA - Cardiac - High,Early - Institutional,0,1.3207,4
2HC21,MMTA - Cardiac - High,Early - Institutional,1,1.3829,4
2HC31,MMTA - Cardiac - High,Early - Institutional,2,1.5322,4
3HC11,MMTA - Cardiac - High,Late - Community,0,0.7652,2
